quote;author;context;source;date
"I suggest that we redefine ""+"" to be a legal character in the name of an identifier. Sure, if you used to have ""a+b"" you'll have to rewrite it as ""+(a,b)"", but think of the benefits! You+can+write+out+long+sentences+and+use+them+as+variable+names!";Duncan Murdoch;in a discussion whether to use underscore, dot, or mixed case in variable names;R-help;May 2005
"Oops. Was that what I was expecting?";Louise Matthews;during the practicals of 'Statistical Practice in Epidemiology Using R';SPE Course, Tartu;May 2005
Well, 'do as we say, not do as we do' applies, I think.;Brian D. Ripley;answering a report on a small inconsistency in 'Writing R Extensions' by David Firth;R-devel;June 2005
See pages 45 and 46 of V&R's S PROGRAMMING for a definitive discussion of how to do this.<x>(Confession: I treat anything that V&R say as definitive).;Berton Gunter;"in reply to the question how to parse a '...' function argument";R-help;June 2005
A big computer, a complex algorithm and a long time does not equal science.;Robert Gentleman;NA;SSC 2003, Halifax;June 2003
Uwe Ligges: I just told nonsense, stepclass() does not make sense with randomForest(), obviously ... (wonder why nobody shouted?).<x>Douglas Bates: Oh, we're just so used to you talking nonsense that we don't bother to point it out any more :-);Uwe Ligges and Douglas Bates;NA;R-help;July 2005
The fact that some people murder doesn't mean we should copy them. And murdering data, though not as serious, should also be avoided.;Frank E. Harrell;answering a question on categorization of continuous variables in survival modelling;R-help;July 2005
The learning curve is steep - but then like many people, I'd like to be able to do sophisticated modelling with deep understanding and no effort :-);Sean O'Riordain;in a thread about the helpfulness of documentation;R-help;July 2005
Excellent, Berwin!<x>Specifically the part about why the bug never really triggers wrong behavior. Your mail should be saved in 'The Annals of R' ...;Martin Maechler;after Berwin A Turlach reported a buglet in 'spline_eval';R-devel;July 2005
"You say yourself it wasn't reproducible. So it could have been anything that ""crashed"" your R, cosmic radiation, a bolt of lightning reversing a bit in your computer memory, ... :-)";Martin Maechler;replying to a bug report;R-devel;July 2005
It was simple, but you know, it's always simple when you've done it.;Simone Gabbriellini;after solving a problem with a trick suggested on the list;R-help;August 2005
Trevor Hastie: It would be great to have a 'clickable' digest, where the topics list is a set of pointers, and clicking on a topic takes you to that entry.<x>Jeff Gentry: I sincerely hope you don't mean that you wish HTML enabled content in the actual emails coming through the mailing list. People who send HTML in email text should be taken out back and shot :)<x>Peter Dalgaard: Pretty much what my spam filter does... Well, it kills the message, not the sender, although the latter would be a more permanent solution.;Trevor Hastie, Jeff Gentry, and Peter Dalgaard;NA;R-help;August 2005
If you aren't sure of the relative priority of two operators, use parentheses. 1:(nr-1) would work regardless of whether : or - had higher priority. Or, in extreme cases, read the documentation.;Duncan Murdoch;NA;R-help;August 2005
It is wrong to blame ANY tool for our own shortcomings!;Robert Baer;about the perils of using PowerPoint;R-help;September 2005
Jason Horn: Can anyone think of a way to create a pretty() sequence that excludes zero? Or a way to remove the zero from a sequence after using pretty()?<x>Peter Dalgaard: The former is rather hard because zero is generally considered just about the prettiest number around...;Jason Horn and Peter Dalgaard;NA;R-help;October 2005
Does anyone know someone working in this area in France who is not a JARP (Just Another R Person)?;Jan de Leeuw;NA;JSS mailing list;October 2005
Contrary to popular belief the speed of R's interpreter is rarely the limiting factor to R's speed. People treating R like C is typically the limiting factor. You have vector operations, USE THEM.;Byron Ellis;NA;R-help;October 2005
Mathematical conventions are just that, conventions. They differ by field of mathematics. Don't ask us why matrix rows are numbered down but graphs are numbered up the y axis, nor why x comes before y but row before column. But the matrix layout has always seemed illogical to me.;Brian D. Ripley;answering a question why the layouts of print(x) and image(x) are different;R-help;August 2004
Byron Ellis: If we wanted to be truly radical we'd just accept that graphics devices and event loops are just special cases of the connection and merge the whole thing, thus more-or-less reinventing CLIM. :-)<x>Anthony Rossini: Eventually, all programming languages grow up and become Lisp. (progress, progress, and more joyful progress on CLS).<x>Byron Ellis: Untrue! They may also become Smalltalk :-);Byron Ellis and Anthony Rossini;NA;R-devel;December 2005
And the fear of getting Ripleyed on the mailing list also makes me think, read, and improve before submitting half baked questions to the list.;Eric Kort;NA;R-help;January 2006
Ole F. Christensen: Brain, Thank you very much for your help.<x>Peter Dalgaard: You seem to be using call-by-value semantics rather than call-by-name...;Ole F. Christensen and Peter Dalgaard;thanking *Brian* D. Ripley for help;R-devel;January 2006
Thomas Lumley: The precedence of ^ is higher than that of unary minus. It may be surprising, [...]<x>Herve Pages: No, it's not surprising. At least to me... In the country where I grew up, I've been teached that -x^2 means -(x^2) not (-x)^2.;Thomas Lumley and Herve Pages;both explaining that operator precedence is working perfectly well;R-devel;January 2006
The wiki spamming is a serious problem, [...]. What does a logfile with IPs help? The spammers are strangers selling viagra. I don't want to find them :-);Detlef Steuer;in a discussion on R wikis;R-help;January 2006
Any doubts about R's big-league status should be put to rest, now that we have a Sudoku Puzzle Solver. Take that, SAS!;David Brahm;announcing the sudoku package;R-packages;January 2006
This list is impressive. People are knowledgable, opinionated, ready to help and to flame you for asking elementary question or asking how to use type III SSQ. So, speak softly and carry a beagle. Seriously, sometimes it would be quicker just to give an answer, than to flame a poor soul.;Milos Zarkovic;NA;R-help;January 2006
Lastly, by what we could call the 'Liaw-Baron principle', every question that can be asked has in fact already been asked.;Dirk Eddelbuettel;citing Andy Liaw's and Jonathan Baron's opinion on unique questions on R-help;R-help;January 2006
It's not a question of trying variations, rather of following instructions.;Brian D. Ripley;about using 'Writing R Extensions';R-help;January 2006
"Michael Dewey: When I started I found the free documents useful but I made most progress when I bought MASS. I do realise that liking books is a bit last millennium.<x>Thomas Lumley: Very late last millenium, though. ""When I were young[er] we didn't have all these fancy yellow books.""";Michael Dewey and Thomas Lumley;about different kinds of documentation for R;R-help;January 2006
Please do think hard before you tell other people what they 'should' do for you.;Brian D. Ripley;NA;R-devel;January 2006
It might surprise many R-help posters, but R has manuals as well...;Uwe Ligges;NA;R-help;January 2006
Tom Backer Johnsen: I have just started looking at R, and are getting more and more irritated at myself for not having done that before. However, one of the things I have not found in the documentation is some way of preparing output from R for convenient formatting into something like MS Word.<x>Barry Rowlingson: Well whatever you do, don't start looking at LaTeX, because that will get you even more irritated at yourself for not having done it before.;Tom Backer Johnsen and Barry Rowlingson;NA;R-help;February 2006
Michael Watson: Hopefully this one isn't in the manual or I am about to get shot :-S<x>Peter Dalgaard: *Kapow*...;Michael Watson and Peter Dalgaard;question on axis();R-help;February 2006
My solution when I run into mysteries like this is to put 'browser()' in the function just before or after the line of interest. The magnitude and direction of my stupidity usually become clear quickly.;Patrick Burns;NA;R-help;February 2006
Similarly to Brian, I'm much more reluctant to help people who don't exist -- who knows, maybe you're a computer program who has just passed the Turing test :-);Martin Maechler;about postings with anonymous e-mail addresses and without real names;R-help;March 2006
There's probably some examples, but there are some examples of people using<x>  solve(t(X) %*% W %*% X) %*% W %*% Y<x>to compute regression coefficients, too.;Thomas Lumley;discussing usefulness of evaluation order in lapply;R-help;March 2006
"(3 times...rrrrgh...) and why do you think the mailing list is called R-*packages* ???????????<x>Please do<x>  for(i in 1:20) cat(""It's a package!\n"")";Martin Maechler;after a newly released *package* has been called *library* three times in its announcement on R-packages;R-help;March 2006
If we do that, I predict that the total amount of r-help time wasted on it will exceed the CPU time saved by orders of magnitude.;Duncan Murdoch;after a specialized function speeding up detection of NAs was suggested for base R;R-devel;April 2006
"This has been discussed before in this list, and Ripley said ""no, no!"". I do it all the time, but only in secrecy.";Jari Oksanen;about replacing zero distances with tiny values for isoMDS();R-help;April 2006
2-D pie charts are terrible. That makes 3-D pie charts terrible to the 3/2 power.;Frank Harrell;NA;R-help;April 2006
Yourexamplesmightactuallybereadableifyouusedyourspacebar.;Brian D. Ripley;answering a question containing code without any spaces;R-help;May 2006
It seems that you are facing a very serious fortune(122) problem.;Jean R. Lobry;in reply to a user that quickly needed help for his PhD thesis, without properly checking the documentation;R-help;May 2006
Duncan Murdoch: Others need to run under ESS.<x>Francois Pinard: While this is a good things for Emacs lovers, the requirement is rather unwelcome for pagans! :-);Duncan Murdoch and Francois Pinard;on the availability of command completion;R-help;May 2006
When talking about user friendliness of computer software I like the analogy of cars vs. busses: [...]<x>Using this analogy programs like SPSS are busses, easy to use for the standard things, but very frustrating if you want to do something that is not already preprogrammed.<x>R is a 4-wheel drive SUV (though environmentally friendly) with a bike on the back, a kayak on top, good walking and running shoes in the passenger seat, and mountain climbing and spelunking gear in the back. R can take you anywhere you want to go if you take time to learn how to use the equipment, but that is going to take longer than learning where the bus stops are in SPSS.;Greg Snow;NA;R-help;May 2006
Oh, gosh, this is getting whimsical.<x>R, I surmise, is a mutable tool that enables the user to do what they want. Knapped flint for the Stone Age statistical fool, plasma arc for the expert and learned savant.<x>R is a friend to all manner of men. The perfect companion, the servant complete. It gently informeth the clueless and then, reveals the essence unto the esthete.;Jim Lemon;in a discussion about the usability of R;R-help;May 2006
Statistical computing is not easy, so how could R be? Who has ever claimed it is? Any package that makes statistical computing appear to be easy is probably giving you wrong answers half the time, or is extremely limited in scope.;Duncan Murdoch;in a discussion about the usability of R;R-help;May 2006
Jarek Tuszynski: At one company [...] I had to run all the licenses of all the software [...] through the legal department. When they read the GNU Public License (GPL) their only comment was: We have no idea what that license means. Do not touch any software using it.<x>Rolf Turner: This is typical of lawyers' minds. If something is clear, rational, lucid, straightforward, unambigous, means what it says ... they can't understand it.;Jarek Tuszynski and Rolf Turner;in a discussion about the GPL and 'buying R';R-help;May 2006
It is unusual for the actual data not to be available in real problems.;Brian D. Ripley;in reply to a question how to fit a distribution if not the data but only their histogram is available;R-help;June 2006
Warning: Although abusing R was not proved to be addictive, it should be noted that it often leads to harder stuff.;Ivan Mizera (self-confessed abuseR);NA;useR! 2006, Vienna;June 2006
I wish <<- had never been invented, as it makes an esoteric and dangerous feature of the language *seem* normal and reasonable. If you want to dumb down R/S into a macro language, this is the operator for you.;Bill Venables;NA;R-help;July 2001
"John Kane: I have 120 columns in a data.frame. I have one value in a column named ""blaw"" that I want to change. How do I find the coordinates?<x>Roger Koenker: It is the well-known wicked which problem: If you had (grammatically incorrectly) thought ""... which I want to change"" then you might have been led to type (in another window):<x>  ?which<x>and you would have seen the light. Maybe that() should be an alias for which()?";John Kane and Roger Koenker;NA;R-help;August 2006
"Gregor Gorjanc: But imagine how hard would it be to have two separate modes ... argh, probably a mess^2 or have I missed something obvious.<x>Martin Maechler: Yes, exactly: ""Mess ^ 2"" -- and if you allow both 'drop' and 'na.rm' options, it's ""Mess ^ 3"" -- not something anyone really wants!";Gregor Gorjanc and Martin Maechler;in a discussion whether 'drop' should be set in options(), possibly depending on different user vs. programmer modes;R-devel;September 2006
You need to prepare your students for the future, not the past.;Spencer Graves;making a case for using R in academia;R-help;November 2006
Have you ever wanted to write a book, but not known where to start? Now is a very good time to jump in, because there is currently a very simple recipe for success: just put R in the title and you will have to beat the publishers off with a stick!;Paul Murrell;NA;ASA Statistical Computing & Graphics Newsletter 17(2);November 2006
This is at best a matter of opinion, and credentials do matter for opinions.;Brian D. Ripley;in response to the claim that only 1.79e3 is printed with three significant digits whereas 1790 is not;R-help;December 2006
If you want to do an integer divide, you should only use integers to divide with.;Thierry Onkelinx;"(not entirely correctly) in an answer to ""understanding integer divide (%/%)""";R-help;January 2007
Personally I have never regretted trying not to underestimate my own future stupidity.;Greg Snow;explaining why eval(parse(...)) is often suboptimal, answering a question triggered by the infamous fortune(106);R-help;January 2007
"Brian Ripley: Where did you tell it [...]? (Nowhere: R is lacking a mind_read() function!)<x>Peter Dalgaard: Please stop complaining about missing features. Patches will be considered.<x><x>Oh, it's you, Brian. Never mind then. You'll get to it, I'm sure. ;-)";Brian Ripley and Peter Dalgaard;answering why abline(lm(x~y)) would not work;R-help;January 2007
Just [use] MinGW like R [does], following the guides to the letter gets you there like marked stones across a marsh. Leaving the path usually gets you at best neck deep in the mire, alternatively just bubbles.;Roger Bivand;explaining what development environment should be used to develop C on Windows (for R);R-devel;January 2007
"You must realize that R is written by experts in statistics and statistical computing who, despite popular opinion, do not believe that everything in SAS and SPSS is worth copying. Some things done in such packages, which trace their roots back to the days of punched cards and magnetic tape when fitting a single linear model may take several days because your first 5 attempts failed due to syntax errors in the JCL or the SAS code, still reflect the approach of ""give me every possible statistic that could be calculated from this model, whether or not it makes sense"". The approach taken in R is different. The underlying assumption is that the useR is thinking about the analysis while doing it.";Douglas Bates;in reply to the suggestion to include type III sums of squares and lsmeans in base R to make it more similar to SAS or SPSS;R-help;March 2007
I don't like to see the use of c() for its side effects. In this case Marc's as.vector seems to me to be self-explanatory, and that is a virtue in programming that is too often undervalued.;Brian D. Ripley;on how to convert a matrix into a vector;R-help;March 2007
I cannot remember if I have been using 14 or 14, I think it was 14 and I am not near the machine to check.;John Kane;confused about his SPSS version;R-help;April 2007
Tony Plate: There looks to be a typo in the R-exts manual: [...]<x>Peter Dalgaard: 'svn blame' tells me that this was Brian's addition in rev.35362 [...]<x>Brian D. Ripley: I prefer 'svn praise' myself.<x>Peter Dalgaard: Or 'svn annotate'. I think it depends on what I'm looking for, plus the risk that the author (perpetrator, contributor) might be me...;Tony Plate, Peter Dalgaard, and Brian D. Ripley;about a typo in the documentation;R-devel;April 2007
Corinna Schmitt: How can I divide the number 0.285 with 2. I need a function.<x>  Result: 0.285 / 2 = 0.1425<x>Gabor Csardi: Well, i think<x>  half.of.0.285 <- function() {<x>    0.1425<x>  }<x>would do the trick.;Corinna Schmitt and Gabor Csardi;NA;R-help;April 2007
Perhaps one is the real forge and the other is a forgery? Or a forge-R-y? I'll get my coat...;Barry Rowlingson;on the question whether http://www.RForge.net/ or http://R-Forge.R-project.org/ is the official forge server;R-help;April 2007
It is all too easy for statistical thinking to be swamped by programming tasks.;Brian D. Ripley;NA;DSC 2001, Wien;March 2001
R is being used for different purposes than the original interactive EDA environment.;Duncan Temple Lang;NA;DSC 2007, Auckland;February 2007
RAM is cheap and thinking hurts.;Uwe Ligges;about memory requirements in R;R-help;June 2007
All this becomes even more glaring if you take the unusal step of plotting the data.;Bill Venables;interpreting the results of an ANOVA analysis;R-help;July 2007
"What sort of editor would overlook this clear and demonstrable message leaping out from the data in favour of some arcane argument about ""types of sums of squares""? Several answers come to mind: A power freak, a SAS afficianado, an idiot.";Bill Venables;NA;R-help;July 2007
If you really want to assess uncertainty you need to take into account that the models are false and that several models may capture different aspects of the data and so be false in different ways.;Brian D. Ripley;NA;R-help;July 2007
R will always be arcane to those who do not make a serious effort to learn it. It is **not** meant to be intuitive and easy for casual users to just plunge into. It is far too complex and powerful for that. But the rewards are great for serious data analysts who put in the effort.;Berton Gunter;NA;R-help;August 2007
If anything, there should be a Law: Thou Shalt Not Even Think Of Producing A Graph That Looks Like Anything From A Spreadsheet.;Ted Harding;in a discussion about producing graphics;R-help;August 2007
Friends don't let friends use Excel for statistics!;Jonathan D. Cryer;about problems with using Microsoft Excel for statistics;JSM 2001, Atlanta;August 2001
"Anand Patil: Can this be fixed without requiring the user to do anything?<x>Brian D. Ripley: The fix requires 'the user' to read the documentation.";Anand Patil and Brian D. Ripley;about some compiler problems under Windows Vista;R-help;September 2007
Bad English is the language of science.;Jan de Leeuw;NA;JSS mailing list;February 2005
3-D bar plots are an abomination. Just because Excel can do them doesn't mean you should.<x>(Dismount pulpit).;Berton Gunter;NA;R-help;October 2007
"Actually the documentation of sunflowerplot is wrong in botanical sense. Sunflowers have composite flowers in capitula, and the things called 'petals' in documentation are ligulate, sterile ray-florets (each with vestigial petals which are not easily visible in sunflower, but in some other species you may see three (occasionally two) teeth).";Jari Oksanen;NA;R-help;December 2007
Apparently mathematical impossibility is not an impediment to parameter estimation in such cases.;Douglas Bates;about the abilities of SAS PROC MIXED;R-help;December 2007
memory problems (not me. my pc!);Sara Mouro;subject line for an R-help request;R-help;January 2008
Gustaf Rydevik: The author also has some thought-provoking opinions on R being no-good and that you should write everything in C.<x>Paul Gilbert: People used to say assembler, that's progress.;Gustaf Rydevik and Paul Gilbert;"in a discussion about an 'R is slow' blog post";R-help;January 2008
"Happy families are all alike; every unhappy family is unhappy in its own way.<x>Leo Tolstoy<x><x>and every messy data is messy in its own way - it's easy to define the characteristics of a clean dataset (rows are observations, columns are variables, columns contain values of consistent types). If you start to look at real life data you'll see every way you can imagine data being messy (and many that you can't)!";Hadley Wickham;answering 'in what way messy data sets are messy';R-help;January 2008
"I strongly suggest you collaborate with a local statistician. I can think of no circumstance where multiple regression on ""hundreds of thousands of variables"" is anything more than a fancy random number generator.";Berton Gunter;NA;R-help;February 2008
"The ""right"" place to store information like this in Windows is in the registry, but we've been reluctant to use it, for various historical reasons. In fact, we were just told today that editing the registry is not allowed by software used by the US government. I think they'll be moving back to the abacus, if they want to stay with Windows.";Duncan Murdoch;about where to store some Windows GUI preferences;R-devel;January 2008
I recently read the small print on the academic license our site has for SAS. You have to:<x><x>  1 inform SAS of any taught courses that use SAS,<x>  2 inform SAS of any research projects using SAS,<x>  3 allow SAS to refer to your institution as a SAS user,<x>  4 allow SAS to review your taught courses,<x>  5 ensure your courses are taught using qualified personnel,<x>  6 give SAS your first-born male offspring.<x><x>I spoke to our site's licensing supremos and they say they've never heard of anyone complying with 1 or 2. Point 4 sounds like petty fiddling in our educational business, and point 5 left 'qualified' undefined. Point 6 doesn't bother me since I don't have kids.;Barry Rowlingson;NA;R-help;February 2008
"The ""one size fits all"" approach to data analysis - also known as ""give me a quart and a half of statistics and just make sure that there is a p-value less than 5% somewhere in there"" - doesn't fit well into the R system.";Douglas Bates;NA;R-help;March 2008
In many cases a) often looks difficult, but on closer inspection turns out to be impossible.;Bill Venables;about calculating the negative log-likelihood from a non-independence model;R-help;April 2008
Basically R is reluctant to let you shoot yourself in the foot unless you are really determined to do so.;Bill Venables;about the warning hist() issues when being called with unequal interval widths and freq=TRUE;R-help;May 2008
"Whoops! I read that e+24 as e-24, so scrub all that I said.<x>(You'd think, that having seen Bill Venables make a similar error -- which he corrected in the follow-up posting to which I was replying -- I would've been more careful. Well, you'd think wrong. Actually it *was* e-24 when I posted; then the Gremlins got in and changed everything. :-) )";Rolf Turner;discussing that f.root from uniroot() is (not) almost zero;R-help;May 2008
R may be the wrong tool for the job, but it's the wrong job.;Rolf Turner;about solving 100th degree polynomials;R-help;May 2008
"Kenn Konstabel: [...] There's more to this trend: SPSS and Statistica now advertise ""R language support"": [...]<x>Charles C. Berry: If you can't beat R, join R.<x>Marc Schwartz: ""Resistance is futile. You will be assimilated."" ";Kenn Konstabel, Charles C. Berry, and Marc Schwartz;about the RPro release from REvolution;R-help;August 2008
"As for the question of the bug in `is', ... it depends what your definition of `is' is.";Douglas Bates;"referring to Bill Clinton after a tortuous discussion of the behavior of is(7, ""integer"")";R-help;September 2008
Shan-Ho Chou: I got a question about eigenvector. I've tried input a symmetric matrix to both R (using eigen function) and Minitab, but the result is really different. Can anyone tell me what's wrong with that?<x>Bill Venables: Simple. Minitab must be broken. Have you reported it to them?;Shan-Ho Chou and Bill Venables;NA;R-help;July 2007
I still don't know what to do about the compromise between how statistics should be done and how journal editors seem to insist it should be done ...;Ben Bolker;NA;R-sig-mixed-models;October 2008
Nothing exceeds like Excel.;Roger Koenker;in reply to a question why it takes so long to paste 19,000 lines of R code from Excel into R;R-help;October 2008
Fabio Mulazzani: I need to obtain all the 9.somethingExp157 permutations that can be given from the numbers from 1 to 100.<x>Ted Harding: To an adequate approximation there are 10^158 of them. Simply to obtain them all (at a rate of 10^10 per second, which is faster than the CPU frequency of most desktop computers) would take 10^148 seconds, or slightly longer than 3*(10^140) years. Current estimates of the age of the Universe are of the order of 1.5*(10^10) years, so the Universe will have to last about 2*(10^130) times as long as it has already existed, before the task could be finished. So: why do you want to do this?;Fabio Mulazzani and Ted Harding;NA;R-help;November 2008
Cross posting is sociopathic.;Roger Koenker;NA;R-help;November 2008
Some people familiar with R describe it as a supercharged version of Microsoft's Excel spreadsheet software.;Ashlee Vance;"in his article ""Data Analysts Captivated by R's Power""";The New York Times;January 2009
I think [R] addresses a niche market for high-end data analysts that want free, readily available code. [...] We have customers who build engines for aircraft. I am happy they are not using freeware when I get on a jet.;Anne H. Milley;"director of technology product marketing at SAS, quoted in Ashlee Vance's article ""Data Analysts Captivated by R's Power""";The New York Times;January 2009
It's interesting that SAS Institute feels that non-peer-reviewed software with hidden implementations of analytic methods that cannot be reproduced by others should be trusted when building aircraft engines.;Frank Harrell;"in response to the statement of the SAS director of technology product marketing: ""We have customers who build engines for aircraft. I am happy they are not using freeware when I get on a jet.""";R-help;January 2009
This sounds like you have discovered homeopathic properties in Sweave! It will be serious if input files remember errors even after they have been removed.;Duncan Murdoch;after a user reported that two supposedly identical Rnw documents work and lead to an error, respectively;R-help;January 2009
Many problems come as a result of users forgetting that they are smarter than the computer. I see 3 ways to remedy the problem:<x>1. Make computers that are as smart or smarter than people.<x>2. Make the programmers anticipate every way that someone may use a particular function and make them implement all of the functionality even if they don't think it is worth the time/effort since there is an easy work around for many of the less likely used features.<x>3. Don't expect the computer to guess correctly and tell it exactly what you want it to do.;Greg Snow;"in response to the question why as.Date() would not parse ""13/1/2001"" in 'the only reasonable way'";R-help;January 2009
One of the beauties of S and R is the syntax closeness to mathematical notation. Many of us know that Lisp has beauties that S can never have, but that's really in different beauty-space.;Martin Maechler;NA;R-devel;February 2009
R is Open Source and so you can modify it to emulate the bugs in other software: that is not one of the aims of its developers so please don't expect us to do so for you.;Brian D. Ripley;answering a request for a change to Excel-like non IEC 60559 standard conform rounding;R-help;March 2009
The combination of some data and an aching desire for an answer does not ensure that a reasonable answer can be extracted from a given body of data.;John W. Tukey;"the first of six ""basics"" against statistician's hubrises";"in ""Sunset Salvo"", The American Statistician 40(1), 72-76";February 1986
I must say I feel very uneasy about giving advice on how to use R as a pre-processor for something that is to be done in Excel, but we are a broad church here!;Bill Venables;NA;R-help;March 2009
No matter how much progress is made by the developers of screen readers somehow PDF remains less than accessible. It's a bit like a failed relationship in which one partner tries to win the other back with expensive gifts.;Paul R. Stanley;in a discussion about text-to-speech processors for the benefit of blind users of LaTeX;texhax mailing list;March 2009
As the name says, studentizing is left as an easy student exercise. Destudentizing is more difficult and usually called professorizing.;Dieter Menne;in response to a question whether residuals from nls() are studentized;R-help;April 2009
Hmm. I don't ever use R-squared, so I didn't implement it.;Thomas Lumley;in reply to a question about how to compute R-squared using biglm;R-help;April 2009
"The issue really comes down to the fact that the questions: ""exactly normal?"", and ""normal enough?"" are 2 very different questions (with the difference becoming greater with increased sample size) and while the first is the easier to answer, the second is generally the more useful one.";Greg Snow;"answering a question about a ""normality test"" suitable for large data";R-help;April 2009
Trellis graphics are a bit like hash functions: you can be close to the target, but get a far-off result.;Dieter Menne;about problems with creating a suitable lattice panel function;R-help;August 2008
The only people who should use the assign function are those who fully understand why you should never use the assign function.;Greg Snow;NA;R-help;July 2009
4 bits are not enough for me!;Philippe Grosjean;after conference dinner incl. wine in a conversation about the representation of data in the ff package;useR! 2009, Rennes;July 2009
Kelvin Lam: My institute has been heavily dependent on SAS for the past while, and SAS is starting to charge us a very deep amount for license renewal. Since we are a non-profit organization that is definitely not sustainable. The team is brainstorming possibility of switching to R, at least gradually. I am talking about the entire institute with considerable number of analysts using SAS their entire career. There's a handful of us using R regularly. What kind of problems and challenges have you faced?<x>Frank Harrell: One of your challenges will be that with the increased productivity of the team you will have time for more intellectually challenging problems. That frustrates some people.;Kelvin Lam and Frank Harrell;NA;R-help;July 2009
Yes we CRAN!;Aurelien Latouche;suggestion for a T-shirt slogan;private communication;July 2009
Dear Uwe, thank you very much for your unvaluable time and effort.;Javier Cano;thanking Uwe Ligges for solving a coding problem;R-help;July 2009
If I were to be treated by a cure created by stepwise regression, I would prefer voodoo.;Dieter Menne;in a thread about regressions with many variables;R-help;October 2009
If one doesn't understand the output of lm(), then one's knowledge of statistics is insufficient to warrant using lm().;Peter Ehlers;NA;R-help;October 2009
If 'fools rush in where angels fear to tread', then Bayesians 'jump' in where frequentists fear to 'step'.;Charles C. Berry;about Bayesian model selection as an alternative to stepwise regression;R-help;November 2009
You are going to need a few more sessions for this therapy to be useful, we cannot read your computer's mind, just interpret what you tell us. I don't want to jump ahead, but can you tell us the childhood of your crashes, etc.;Romain Francois;in a 'psychotherapy' session trying to understand the sources of a useR's problems;R-help;November 2009
It currently works (because I can't figure out how to make it an error) but you really should not do it.;Hadley Wickham;discussing a user's ggplot experiences;R-help;October 2009
There's an informal tradition that those announcements [about R releases] contain at least one mistake, but apparently I forgot this time, so users have to make up their own....;Peter Dalgaard;about an apparent non-bug report in his former R-announce message;R-help;December 2009
It appears to me that you do not understand even basic statistics. As a corollary to that impression I would suggest that giving you advice about the use of R for scientific investigation could be morally similar to giving you advice about how to do your own household wiring.;David Winsemius;NA;R-help;November 2009
Kakali Das: Is there any certification courses available in statistics in India which can be done after completing M.Sc. in Statistics? I need to know some courses which will be a specialization and can be done in distance mode from India?<x>Kjetil Brinchmann Halvorsen: A specialization course (maybe better named generalization course) suitable to everybody, very cheap, and of immense quality, is to participate in the mailing list R-help, and simply try to understand (and then respond usefully) to questions arising there.;Kakali Das and Kjetil Brinchmann Halvorsen;NA;Yahoo! Statisticians_group;November 2009
In general, it's much easier to create output from a R object than create an R object from output.;Hadley Wickham;NA;R-help;December 2009
"As Obi-Wan Kenobi may have said in Star Wars: ""Use the source, Luke!""";Barry Rowlingson;answering a question on the documentation of some implementation details;R-devel;January 2010
"Finally, a word of wisdom from a long-ago engineering colleague: ""Whenever I see an outlier, I'm never sure whether to throw it away or patent it.""";Berton Gunter;on outlier identification;R-help;December 2009
As one of the developers of the nls function I would like to state that the lack of automatic ANOVA, R^2 and adj. R^2 from nls is a feature, not a bug :-);Douglas Bates;in reply to a request for automatic ANOVA of NLS models as in Statistica;R-help;August 2000
"My best advice regarding R^2 statistics with nonlinear models is, as Nancy Reagan suggested, ""Just say no."".";Douglas Bates;NA;R-help;August 2000
"I recently attended a Ph.D. prelim exam where the candidate had proposed research on various ways of defining an R^2 statistic in the original data scale from a linear model fit to data in a transformed scale determined by the Box-Cox method. There were seven different possible definitions for R^2, all of which, as acknowledged by the candidate and by the thesis advisor, were incorrect. The purpose of this path-breaking study is to determine in some way which of these seven possible incorrect definitions should be used. My suggestion that the obvious answer was ""none of them"" was regarded as somewhat heretical.";Douglas Bates;NA;R-help;August 2000
[Listing original copyright holders in R packages is] especially useful if there are areas of doubt and uncertainty (eg code published on ftp sites before people worried about licenses), since it at least gives you rigidly defined areas of doubt and uncertainty.[5]<x>[5] Adams D, (1978) Hitchhiker's Guide. BBC Radio.;Thomas Lumley;in a discussion about copyright vs. licenses;R-devel;January 2010
"The widespread use of spreadsheets or SPSS data sets or SAS data sets which encourage the ""single table with a gargantuan number of columns, most of which are missing data in most cases"" approach to organization of longitudinal data is regrettable.";Douglas Bates;in a discussion about software for hierarchical data sets;R-help;February 2010
R is a complex program. If you can't work out how to find the documentation, I doubt you will be able to use R.;David Kirby;in response to a vague question on where to find documentation for R;R-help;February 2010
If your ultimate interest is in real scientific progress, I'd suggest that you ignore that sentence (and any conclusion drawn subsequent to it).;Andy Liaw;in response to a question on the meaning of the sentence: 'Independent variables whose correlation with the response variable was not significant at 5% level were removed';R-help;March 2010
I begin to think that R needs a _mis_fortunes package...;Stephen L.R. Ellison;NA;R-help;March 2010
"I think what we are seeking is the marginal variance-covariance matrix of the parameter estimators (marginal with respect to the random effects random variable, B), which would have the form of the inverse of the crossproduct of a (q+p) by p matrix composed of the vertical concatenation of - L^{-1}RZX RX^{-1} and RX^{-1}. (Note: You do *not* want to calculate the first term by inverting L, use solve(L, RZX, system = ""L"") - [...] don't even think about using solve(L) - don't!, don't!, don't! - have I made myself clear? - don't do that (and we all know that someone will do exactly that for a very large L and then send out messages about ""R is SOOOOO SLOOOOW!!!!"" :-) )";Douglas Bates;NA;R-SIG-Mixed-Models;March 2010
